,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
LTB,0,1.07521999740824,0.984,0.704,0,0,LTB
IL7R,0,0.976751154770404,0.948,0.644,0,0,IL7R
VIM,0,0.855537305307081,0.973,0.849,0,0,VIM
ANXA1,0,0.764488939878643,0.875,0.618,0,0,ANXA1
ITGB1,0,0.745806869936924,0.618,0.283,0,0,ITGB1
PLP2,0,0.739342879138961,0.587,0.276,0,0,PLP2
CRIP1,0,0.664279447878992,0.886,0.683,0,0,CRIP1
AQP3,0,0.647680551719107,0.463,0.19,0,0,AQP3
LMNA,0,0.640705292877085,0.281,0.095,0,0,LMNA
COTL1,0,0.627983794791043,0.717,0.386,0,0,COTL1
TRADD,0,0.626193967372602,0.478,0.199,0,0,TRADD
TNFAIP3,0,0.621897999138457,0.794,0.592,0,0,TNFAIP3
S100A11,0,0.607965809367478,0.6,0.318,0,0,S100A11
GPR183,0,0.564397906251149,0.398,0.167,0,0,GPR183
LIMS1,0,0.551189137500111,0.392,0.172,0,0,LIMS1
INPP4B,0,0.548239336061792,0.449,0.199,0,0,INPP4B
KLF6,0,0.535935348306255,0.91,0.73,0,0,KLF6
RGCC,0,0.531112655288934,0.496,0.297,0,0,RGCC
ARHGAP15,0,0.51981930439222,0.62,0.376,0,0,ARHGAP15
RNASET2,0,0.519500462717764,0.673,0.423,0,0,RNASET2
CDC14A,0,0.51364660935814,0.544,0.3,0,0,CDC14A
TIMP1,0,0.499158780481519,0.431,0.2,0,0,TIMP1
GSTK1,0,0.498506707432786,0.774,0.559,0,0,GSTK1
FXYD5,0,0.497858686700306,0.854,0.669,0,0,FXYD5
AP3M2,0,0.488063138936221,0.423,0.202,0,0,AP3M2
JUNB,0,0.486014866499617,0.963,0.908,0,0,JUNB
CORO1B,0,0.483070988990406,0.41,0.203,0,0,CORO1B
PAG1,0,0.450143447442863,0.488,0.272,0,0,PAG1
S100A10,0,0.447597377309049,0.88,0.736,0,0,S100A10
TTC39C,0,0.445912989013884,0.498,0.275,0,0,TTC39C
LDHB,0,0.441297349694706,0.929,0.74,0,0,LDHB
MAL,0,0.441227429384136,0.521,0.286,0,0,MAL
BIRC3,0,0.440928554170166,0.427,0.216,0,0,BIRC3
AHNAK,0,0.439723555326053,0.721,0.461,0,0,AHNAK
GATA3,0,0.433976154169646,0.344,0.171,0,0,GATA3
FTH1,0,0.424468712202303,0.995,0.982,0,0,FTH1
